SPNAMES_jetz;SPNAMES_merge_jetz-birdlife;SPNAMES_birdlife;SPENG_jetz;SPENG_birdlife;Order;MIG_strategy;DIST_QUALI;DIST_QUANTI_MIGONLY;DIST_QUANTI_ALLSP;LENGTH_BREEDINGA;BodyMass;Diet.Inv;Diet.Vend;Diet.Vect;Diet.Vfish;Diet.Vunk;Diet.Scav;Diet.Fruit;Diet.Nect;Diet.Seed;Diet.PlantO;Diet.5Cat;Diet_breadth;ForStrat.watbelowsurf;ForStrat.wataroundsurf;ForStrat.ground;ForStrat.understory;ForStrat.midhigh;ForStrat.canopy;ForStrat.aerial;For_breadth
Larus_minutus;Hydrocoloeus_minutus;Hydrocoloeus_minutus;Little-Gull;Little-Gull;CHARADRIIFORMES;3_strict_migrant;4_long;1661.67207676618;1661.67207676618;46565;118;80;0;0;20;0;0;0;0;0;0;Invertebrate;2;10;60;30;0;0;0;0;3
Larus_modestus;Larus_modestus;Larus_modestus;Grey-Gull;Grey-Gull;CHARADRIIFORMES;3_strict_migrant;3_variable;657.038131788654;657.038131788654;225;344;70;0;0;20;0;10;0;0;0;0;Invertebrate;3;0;70;30;0;0;0;0;2
Larus_novaehollandiae;Larus_novaehollandiae;Larus_novaehollandiae;Silver-Gull;Silver-Gull;CHARADRIIFORMES;2_partial_migrant;3_variable;1256.28509783577;1256.28509783577;15489;268.99;20;0;0;20;0;20;20;0;20;0;Omnivore;5;0;50;50;0;0;0;0;2
Larus_occidentalis;Larus_occidentalis;Larus_occidentalis;Western-Gull;Western-Gull;CHARADRIIFORMES;2_partial_migrant;2_short;685.491777078541;685.491777078541;553;922.78;20;30;0;30;0;20;0;0;0;0;VertFishScav;4;0;20;80;0;0;0;0;2
Larus_pacificus;Larus_pacificus;Larus_pacificus;Pacific-Gull;Pacific-Gull;CHARADRIIFORMES;1_resident;1_resident;0;396.175448524934;2121;1292.03;40;10;0;20;0;30;0;0;0;0;VertFishScav;4;0;70;30;0;0;0;0;2
Larus_philadelphia;Larus_philadelphia;Larus_philadelphia;Bonapartes-Gull;Bonapartes-Gull;CHARADRIIFORMES;3_strict_migrant;4_long;2479.38573449206;2479.38573449206;26116;210.71;50;0;0;50;0;0;0;0;0;0;Omnivore;2;40;50;10;0;0;0;0;3
Larus_pipixcan;Larus_pipixcan;Larus_pipixcan;Franklins-Gull;Franklins-Gull;CHARADRIIFORMES;3_strict_migrant;4_long;6854.11989099136;6854.11989099136;7163;280;40;10;0;10;0;0;0;0;20;20;Omnivore;5;0;30;40;30;0;0;0;3
Larus_relictus;Larus_relictus;Larus_relictus;Relict-Gull;Relict-Gull;CHARADRIIFORMES;3_strict_migrant;3_variable;1939.55430496168;1939.55430496168;6395;490.2;40;20;0;40;0;0;0;0;0;0;VertFishScav;3;0;50;50;0;0;0;0;2
Larus_ridibundus;Larus_ridibundus;Larus_ridibundus;Black-headed-Gull;Black-headed-Gull;CHARADRIIFORMES;3_strict_migrant;3_variable;3196.214288959;3196.214288959;89779;284;70;0;0;20;0;0;0;0;10;0;Invertebrate;3;0;50;50;0;0;0;0;2
Larus_saundersi;Saundersilarus_saundersi;Saundersilarus_saundersi;Saunderss-Gull;Saunderss-Gull;CHARADRIIFORMES;2_partial_migrant;3_variable;887.130642523295;887.130642523295;312;198;60;0;0;40;0;0;0;0;0;0;Invertebrate;2;0;50;50;0;0;0;0;2
Larus_schistisagus;Larus_schistisagus;Larus_schistisagus;Slaty-backed-Gull;Slaty-backed-Gull;CHARADRIIFORMES;2_partial_migrant;3_variable;1585.27025495951;1585.27025495951;6549;1323;30;10;0;30;0;20;10;0;0;0;VertFishScav;5;30;40;30;0;0;0;0;3
Larus_scopulinus;Larus_novaehollandiae;Larus_novaehollandiae;Red-billed-Gull;Silver-Gull;CHARADRIIFORMES;2_partial_migrant;3_variable;1256.28509783577;1256.28509783577;15489;302.5;50;0;0;30;0;20;0;0;0;0;Omnivore;3;0;60;40;0;0;0;0;2
Larus_serranus;Larus_serranus;Larus_serranus;Andean-Gull;Andean-Gull;CHARADRIIFORMES;2_partial_migrant;2_short;1202.98330509341;1202.98330509341;3506;478;40;10;0;40;0;10;0;0;0;0;VertFishScav;4;0;50;50;0;0;0;0;2
Larus_thayeri;Larus_thayeri;Larus_thayeri;Thayers-Gull;Thayers-Gull;CHARADRIIFORMES;3_strict_migrant;4_long;2426.94427285829;2426.94427285829;14745;942.48;30;0;0;40;0;30;0;0;0;0;VertFishScav;3;0;80;20;0;0;0;0;2
Laterallus_albigularis;Laterallus_albigularis;Laterallus_albigularis;White-throated-Crake;White-throated-Crake;GRUIFORMES;1_resident;1_resident;0;258.082838950761;1824;47.29;40;0;0;0;0;0;0;0;30;30;PlantSeed;3;0;20;80;0;0;0;0;2
Laterallus_exilis;Laterallus_exilis;Laterallus_exilis;Grey-breasted-Crake;Grey-breasted-Crake;GRUIFORMES;1_resident;1_resident;0;778.074689390922;21107;33.53;60;0;0;0;0;0;0;0;40;0;Invertebrate;2;0;20;80;0;0;0;0;2
Laterallus_jamaicensis;Laterallus_jamaicensis;Laterallus_jamaicensis;Black-Rail;Black-Rail;GRUIFORMES;2_partial_migrant;3_variable;1453.20520333476;1453.20520333476;2948;32.56;70;0;0;0;0;0;0;0;30;0;Invertebrate;2;0;50;50;0;0;0;0;2
Laterallus_leucopyrrhus;Laterallus_leucopyrrhus;Laterallus_leucopyrrhus;Red-and-white-Crake;Red-and-white-Crake;GRUIFORMES;1_resident;1_resident;0;258.357021481567;3258;45.5;60;0;0;0;0;0;0;0;40;0;Invertebrate;2;0;0;100;0;0;0;0;1
Laterallus_levraudi;Laterallus_levraudi;Laterallus_levraudi;Rusty-flanked-Crake;Rusty-flanked-Crake;GRUIFORMES;1_resident;1_resident;0;51.8857703826993;100;43.51;70;0;0;0;0;0;0;0;30;0;Invertebrate;2;0;30;70;0;0;0;0;2
Laterallus_melanophaius;Laterallus_melanophaius;Laterallus_melanophaius;Rufous-sided-Crake;Rufous-sided-Crake;GRUIFORMES;1_resident;1_resident;0;818.324591841777;31645;52.1;80;0;0;0;0;0;0;0;20;0;Invertebrate;2;0;50;50;0;0;0;0;2
